nb_cycle_aller,moy_cycle_aller,dist_veto,propor_utilisa_aller,jour_marche
30,20,15.0,53.216374269005854,5
30,20,15.0,53.216374269005854,5
30,20,15.0,53.216374269005854,5
30,20,15.0,53.216374269005854,5
30,20,15.0,53.216374269005854,5
30,20,15.0,53.216374269005854,5
30,20,15.0,53.216374269005854,5
30,20,15.0,53.216374269005854,5
30,20,15.0,53.216374269005854,5
30,20,15.0,53.216374269005854,5
